Rental flat Y/N,Postal Code,Address,Total units,1-room (units),2-room (units),3-room (units),Charities serving block,Demographic,Food needed,Frequency needed
,163012,Blk 12 York Hill,198,176,22,0,,,,
,168789,Blk 1 Spooner Road,0,?,?,?,,,,
,168790,Blk 2 Spooner Road,0,?,?,?,,,,
,190004,Blk 4 Beach Road,336,336,0,0,,,,
,190005,Blk 5 Beach Road,336,336,0,0,,,,
,190006,Blk 6 Beach Road,169,57,112,1,,,,
,190007,Blk 7 North Bridge Road,348,336,12,0,,,,
,190008,Blk 8 North Bridge Road,348,336,12,0,,,,
,190009,Blk 9 North Bridge Road,348,336,12,0,,,,
,190010,Blk 10 North Bridge Road,224,224,0,0,,,,
,190018,Blk 18 Jalan Sultan,150,0,150,0,,,,
,190019,Blk 19 Jalan Sultan,150,0,150,0,,,,
,200001,Blk 1 Maude Road,176,0,176,0,Beyond Social Services,,,
,200002,Blk 2 Kitchener Road,176,0,176,0,,,,
,200008,Blk 8 French Road,304,304,0,0,,,,
,200025,Blk 25 Jalan Berseh,298,0,298,0,,,,
,200805,Blk 805 King George's Avenue,176,0,176,0,,,,
,201007,Blk 7 King George's Avenue,252,252,0,0,,,,
,210047,Blk 47 Owen Road,194,180,14,0,,,,
,270016,Blk 16 Ghim Moh Road,208,0,208,0,"Beyond Social Services, Genuine Hearts",,,
,270017,Blk 17 Ghim Moh Road,208,0,208,0,"Beyond Social Services, Genuine Hearts",,,
,270018,Blk 179 Boon Lay Drive,180,140,40,0,,,,
,270018,Blk 18 Ghim Moh Road,208,0,208,0,"Beyond Social Services, Genuine Hearts",,,
,271001,Blk 1 Holland Close,319,319,0,0,Fei Yue SAC,,,
,310005,Blk 5 Lorong 7 Toa Payoh,258,258,0,0,Care Corner SAC,,,
,310015,Blk 15 Lorong 7 Toa Payoh,257,257,0,0,THK SAC @ Blk 15 ,,,
,310029,Blk 29 Lorong 5 Toa Payoh,196,0,196,0,THK SAC @ Toa Payoh 31,,,
,310031,Blk 31 Lorong 5 Toa Payoh,345,345,0,0,THK SAC @ Toa Payoh 31,,,
,310052,Blk 52 Lorong 6 Toa Payoh,332,0,332,1,,,,
,310054,Blk 54 Lorong 5 Toa Payoh,176,0,176,0,,,,
,310055,Blk 55 Lorong 5 Toa Payoh,176,0,176,0,,,,
N,600208,Blk 208 Jurong East Street 21,,,,,THKMC (West) ,,,
,310056,Blk 56 Lorong 4 Toa Payoh,120,0,120,20,"Fei Yue FSC, Care Corner SAC",,,
,310058,Blk 58 Lorong 4 Toa Payoh,119,0,119,19,,,,
N,600210,Blk 210 Jurong East Street 21,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
,310063,Blk 63 Lorong 5 Toa Payoh,237,0,237,0,"Free Food For All, Care Corner SAC @Blk 62B",,,
N,600211,Blk 211 Jurong East Street 21,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
,310064,Blk 64 Lorong 5 Toa Payoh,239,0,239,0,,,,
N,600217,Blk 217 Jurong East Street 21,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
,310068,Blk 68 Lorong 5 Toa Payoh,229,0,229,11,,,,
,310103,Blk 103 Lorong 1 Toa Payoh,158,0,158,0,,,,
,310104,Blk 104 Lorong 1 Toa Payoh,160,0,160,0,,,,
,310105,Blk 105 Lorong 1 Toa Payoh,160,0,160,0,,,,
,310106,Blk 106 Lorong 1 Toa Payoh,159,0,159,0,Care Corner SAC,,,
,310148,Blk 148 Lorong 1 Toa Payoh,180,0,180,0,,,,
,310149,Blk 149 Lorong 1 Toa Payoh,180,0,180,0,Care Corner SAC,,,
N,601225,Blk 225A Jurong East Street 21,,,,,Loving Heart MSC (Yuhua),,,
N,600229,Blk 229 Jurong East Street 21,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
,310150,Blk 150 Lorong 1 Toa Payoh,180,0,180,0,,,,
N,650231,Blk 231 Bukit Batok East Avenue 5,,,,,THKMC (West),,,
N,600231,Blk 231 Jurong East Street 21,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
N,650233,Blk 233 Bukit Batok East Avenue 5,,,,,THKMC (West),,,
N,600233,Blk 233 Jurong East Street 21,,,,,Loving Heart MSC (Yuhua),,,
